"Edit","Context Information","⌃⌥Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Window","Previous Perspective","⇧⌘F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Result Set","Toggle result panels","F7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"File","Properties","⌘I","In Windows","org.eclipse.ui.file.properties"
"Text Editing","Next Word","⌥→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Result Set","References","⌃1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"File","Save","⌘S","In Windows","org.eclipse.ui.file.save"
"File","Save All","⇧⌘S","In Windows","org.eclipse.ui.file.saveAll"
"Views","Show View (Problems)","⌥⌘Q X","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Result Set","Next row","⌃⌥→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.next"
"Utility","Advanced Paste","⌃⇧V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"Result Set","First row","⌃⌥⇧←","Results viewer context","org.jkiss.dbeaver.core.resultset.row.first"
"Result Set","Navigate link","⌥Space","Results viewer context","org.jkiss.dbeaver.core.resultset.navigateLink"
"SQL Editor","Maximize results panel","⌃⇧6","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.maximize.result.panel"
"Text Editing","Select Next Word","⌥⇧→","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"SQL Editor","Select all rows","⌃⌥⇧A","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.all.rows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Connection","New SQL Editor","⌃]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"File","New","⇧⌘N","In Windows","org.eclipse.ui.newWizard"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"SQL Editor","Switch active panel","⌥6","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.switch.panel"
"Result Set","Fetch Next Page","⌃⌥;","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.page"
"Edit","Select All","⌘A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"Database Navigator","Link with editor","⌃⇧,","In Windows","org.jkiss.dbeaver.core.navigator.linkeditor"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"Text Editing","Previous Word","⌥←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Views","Show View (Search)","⌥⌘Q S","In Windows","org.eclipse.ui.views.showView"
"Database Navigator","Refresh Projects","⌘R","Database navigator context","org.jkiss.dbeaver.core.project.refresh"
"Edit","Find and Replace","⌘F","In Windows","org.eclipse.ui.edit.findReplace"
"Connection","Select active schema","⌃0","In Windows","org.jkiss.dbeaver.ui.tools.select.schema"
"Edit","Find Previous","⇧⌘K","Editing Text","org.eclipse.ui.edit.findPrevious"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"SQL Editor","Execute SQL Script","⌥X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"Text Editing","Text End","⌘↘","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"SQL Editor","Rename SQL Script","⌃F2","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.rename"
"Result Set","Apply cell changes","⌃⌥⇧↩","Results edit context","org.jkiss.dbeaver.core.resultset.cell.save"
"File","New menu","⌥⌘N","In Windows","org.eclipse.ui.file.newQuickMenu"
"File","Close","⌘W","In Windows","org.eclipse.ui.file.close"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Window","Show Ruler Context Menu","⌘F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Navigate","Backward History","⌘[","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows","org.eclipse.ui.views.showView"
"Edit","Find Next","⌘K","Editing Text","org.eclipse.ui.edit.findNext"
"Edit","Context Information","⌃⇧Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Text Editing","Select Line Start","⇧⌘←","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Navigate","Forward History","⌘]","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Window","Quick Switch Editor","⌘E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"File","Close All","⇧⌘W","In Windows","org.eclipse.ui.file.closeAll"
"Window","Previous View","⇧⌘F7","In Windows","org.eclipse.ui.window.previousView"
"Window","Toggle Full Screen","⌃⌘F","In Windows","org.eclipse.ui.cocoa.fullscreenWindow"
"Utility","Advanced Copy","⌃⇧C","In Windows","org.jkiss.dbeaver.core.edit.copy.special"
"Result Set","Delete current row","⌥⌦","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Result Set","Fetch All Data","⌃⌥\","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.all"
"Connection","Recent SQL Editor","⌃↩","Database navigator context","org.jkiss.dbeaver.core.sql.editor.recent"
